App,Rating,Size_Megabytes,Installs,Type,Price,Content Rating,Last Updated,Current Ver,Android Ver,Genres_1,Genres_description
Super Jim Jump - pixel 3d,4.5,18.0,"1,000,000+",Free,0.0,Everyone,"July 11, 2018",2.2.3181,4.0 and up,Arcade,No description
Bubble Witch 3 Saga,4.7,78.0,"50,000,000+",Free,0.0,Everyone,"July 17, 2018",4.8.4,3.0 and up,Puzzle,No description
Word Search,4.7,3.9,"10,000,000+",Free,0.0,Everyone,"June 6, 2018",1.1.3,3.0 and up,Word,No description
Granny,4.5,59.0,"50,000,000+",Free,0.0,Teen,"May 29, 2018",1.4.0.1,4.0 and up,Arcade,No description
Angry Birds Classic,4.4,97.0,"100,000,000+",Free,0.0,Everyone,"May 24, 2018",7.9.3,4.1 and up,Arcade,No description
Flow Free,4.3,11.0,"100,000,000+",Free,0.0,Everyone,"April 11, 2018",4.0,4.1 and up,Puzzle,No description
Race the Traffic Moto,3.8,38.0,"10,000,000+",Free,0.0,Teen,"July 20, 2018",1.0.16,4.0.3 and up,Racing,No description
Fishdom,4.6,Not informed,"10,000,000+",Free,0.0,Everyone,"July 19, 2018",2.21.5,4.0.3 and up,Puzzle,No description
Galaxy Attack: Alien Shooter,4.6,Not informed,"10,000,000+",Free,0.0,Everyone,"August 1, 2018",5.66,4.1 and up,Arcade,No description
Zombie Tsunami,4.4,Not informed,"100,000,000+",Free,0.0,Everyone 10+,"June 15, 2018",Varies with device,Varies with device,Arcade,No description
Bubble Shooter 2,4.3,Not informed,"5,000,000+",Free,0.0,Everyone,"July 25, 2018",3.5,4.1 and up,Arcade,No description
Barbie™ Fashion Closet,4.1,85.0,"10,000,000+",Free,0.0,Everyone,"July 30, 2018",1.3.7,4.1 and up,Casual,Creativity
Candy Crush Jelly Saga,4.3,78.0,"50,000,000+",Free,0.0,Everyone,"July 20, 2018",2.1.10,4.0 and up,Puzzle,No description
Hill Climb Racing,4.4,63.0,"100,000,000+",Free,0.0,Everyone,"July 2, 2018",1.37.2,4.2 and up,Racing,No description
Gardenscapes,4.6,Not informed,"50,000,000+",Free,0.0,Everyone,"July 13, 2018",2.6.2,4.0.3 and up,Casual,No description
Marble - Temple Quest,4.3,24.0,"10,000,000+",Free,0.0,Everyone,"June 21, 2018",4.9,4.0.3 and up,Puzzle,No description
Zombie Catchers,4.7,75.0,"10,000,000+",Free,0.0,Everyone,"May 24, 2018",1.0.27,4.1 and up,Action,No description
Minion Rush: Despicable Me Official Game,4.5,Not informed,"100,000,000+",Free,0.0,Everyone 10+,"July 12, 2018",Varies with device,Varies with device,Casual,Action & Adventure
Farm Heroes Saga,4.4,70.0,"100,000,000+",Free,0.0,Everyone,"July 26, 2018",5.1.8,2.3 and up,Casual,No description
Geometry Dash World,4.6,63.0,"10,000,000+",Free,0.0,Everyone,"December 22, 2017",1.03,4.0 and up,Arcade,No description
My Talking Angela,4.5,99.0,"100,000,000+",Free,0.0,Everyone,"July 3, 2018",3.7.2.51,4.1 and up,Casual,No description
Cut the Rope FULL FREE,4.4,49.0,"100,000,000+",Free,0.0,Everyone,"July 5, 2018",3.7.2,4.1 and up,Puzzle,No description
Sniper 3D Gun Shooter: Free Shooting Games - FPS,4.6,Not informed,"100,000,000+",Free,0.0,Mature 17+,"August 2, 2018",Varies with device,Varies with device,Action,No description
Cooking Fever,4.5,82.0,"100,000,000+",Free,0.0,Everyone,"July 12, 2018",2.8.0,4.0.3 and up,Arcade,No description
Toon Blast,4.7,Not informed,"10,000,000+",Free,0.0,Everyone,"July 30, 2018",3196,4.1 and up,Puzzle,No description
Toy Blast,4.7,Not informed,"50,000,000+",Free,0.0,Everyone,"July 23, 2018",5423,4.1 and up,Puzzle,No description
Miraculous Ladybug & Cat Noir - The Official Game,4.5,99.0,"10,000,000+",Free,0.0,Everyone,"July 30, 2018",1.0.6,4.4 and up,Action,No description
Wordscapes,4.8,87.0,"10,000,000+",Free,0.0,Everyone,"August 2, 2018",1.0.47,4.1 and up,Word,No description
Garena Free Fire,4.5,53.0,"100,000,000+",Free,0.0,Teen,"August 3, 2018",1.21.0,4.0.3 and up,Action,No description
Bowmasters,4.7,Not informed,"50,000,000+",Free,0.0,Teen,"July 23, 2018",2.12.5,4.1 and up,Action,No description
My Talking Tom,4.5,Not informed,"500,000,000+",Free,0.0,Everyone,"July 19, 2018",4.8.0.132,4.1 and up,Casual,No description
Jungle Marble Blast,4.3,23.0,"5,000,000+",Free,0.0,Everyone,"July 23, 2018",1.5.4,4.0.3 and up,Casual,No description
Rider,4.5,72.0,"10,000,000+",Free,0.0,Teen,"July 17, 2017",1.2.1,4.0.3 and up,Arcade,No description
Roll the Ball® - slide puzzle,4.5,35.0,"100,000,000+",Free,0.0,Everyone,"August 2, 2018",1.7.40,4.1 and up,Puzzle,No description
Talking Tom Gold Run,4.6,78.0,"100,000,000+",Free,0.0,Everyone,"July 31, 2018",2.8.2.59,4.1 and up,Action,No description
Pixel Art: Color by Number Game,4.7,25.0,"10,000,000+",Free,0.0,Everyone,"July 17, 2018",3.9.2,4.3 and up,Puzzle,No description
Fruits Bomb,4.4,17.0,"10,000,000+",Free,0.0,Everyone,"July 6, 2018",3.3.3179,4.0.3 and up,Casual,No description
Traffic Racer,4.5,53.0,"100,000,000+",Free,0.0,Everyone,"February 27, 2018",2.5,4.1 and up,Racing,No description
Hill Climb Racing 2,4.6,Not informed,"100,000,000+",Free,0.0,Everyone,"August 2, 2018",1.17.2,4.2 and up,Racing,No description
Knife Hit,4.5,60.0,"10,000,000+",Free,0.0,Everyone,"May 22, 2018",1.7.2,4.0.3 and up,Arcade,No description
Block Craft 3D: Building Simulator Games For Free,4.5,57.0,"50,000,000+",Free,0.0,Everyone,"March 5, 2018",2.10.2,4.0.3 and up,Simulation,No description
Farm Fruit Pop: Party Time,4.4,14.0,"1,000,000+",Free,0.0,Everyone,"August 2, 2018",1.9.2,4.0.3 and up,Casual,No description
Love Balls,4.2,40.0,"50,000,000+",Free,0.0,Everyone,"July 31, 2018",1.2.7,4.1 and up,Puzzle,No description
Hungry Shark Evolution,4.5,100.0,"100,000,000+",Free,0.0,Teen,"July 25, 2018",6.0.0,4.1 and up,Arcade,No description
Piano Tiles 2™,4.7,Not informed,"100,000,000+",Free,0.0,Everyone,"August 3, 2018",3.1.0.226,4.1 and up,Arcade,No description
Pokémon GO,4.1,85.0,"100,000,000+",Free,0.0,Everyone,"July 23, 2018",0.111.3,4.4 and up,Adventure,No description
Paint Hit,4.4,33.0,"10,000,000+",Free,0.0,Everyone,"July 6, 2018",5.200,5.0 and up,Casual,No description
Snake VS Block,4.2,32.0,"50,000,000+",Free,0.0,Teen,"April 23, 2018",1.24,4.1 and up,Arcade,No description
Rolly Vortex,4.4,40.0,"10,000,000+",Free,0.0,Teen,"May 25, 2018",1.7.0,4.1 and up,Arcade,No description
Woody Puzzle,4.7,29.0,"1,000,000+",Free,0.0,Everyone,"August 3, 2018",1.0.9,4.4 and up,Puzzle,No description
Stack Jump,4.3,40.0,"10,000,000+",Free,0.0,Teen,"May 3, 2018",1.4.6,4.1 and up,Arcade,No description
Color by Number – New Coloring Book,4.7,24.0,"5,000,000+",Free,0.0,Everyone 10+,"August 1, 2018",2.0.6,4.1 and up,Board,No description
The Cube,4.2,38.0,"5,000,000+",Free,0.0,Everyone,"July 25, 2018",1.2.9,4.1 and up,Arcade,No description
Extreme Car Driving Simulator,4.3,52.0,"100,000,000+",Free,0.0,Everyone,"May 3, 2018",4.17.2,4.0 and up,Racing,No description
Bricks n Balls,4.4,Not informed,"1,000,000+",Free,0.0,Everyone,"August 5, 2018",1.0.1.049,4.1 and up,Casual,No description
The Fish Master!,4.1,54.0,"1,000,000+",Free,0.0,Everyone,"July 17, 2018",1.6,4.1 and up,Arcade,No description
Color Road,4.1,71.0,"10,000,000+",Free,0.0,Everyone,"July 19, 2018",2.5.0,4.1 and up,Arcade,No description
Draw In,4.2,73.0,"10,000,000+",Free,0.0,Everyone,"July 23, 2018",1.0.8,4.1 and up,Arcade,No description
PLANK!,4.7,38.0,"500,000+",Free,0.0,Everyone,"July 17, 2018",1.0.2,4.3 and up,Arcade,No description
Looper!,4.6,62.0,"1,000,000+",Free,0.0,Everyone,"July 20, 2018",1.2.0,4.1 and up,Puzzle,No description
Trivia Crack,4.5,95.0,"100,000,000+",Free,0.0,Everyone,"August 3, 2018",2.79.0,4.1 and up,Trivia,No description
Will it Crush?,3.1,16.0,"5,000,000+",Free,0.0,Everyone,"May 22, 2018",1.3.3,4.4 and up,Simulation,No description
Tomb of the Mask,4.1,39.0,"5,000,000+",Free,0.0,Everyone,"July 24, 2018",1.2.1,5.0 and up,Action,No description
Baseball Boy!,3.4,78.0,"10,000,000+",Free,0.0,Everyone,"July 27, 2018",1.7.2,4.1 and up,Arcade,No description
PUBG MOBILE,4.4,36.0,"50,000,000+",Free,0.0,Teen,"July 24, 2018",0.7.0,4.3 and up,Action,No description
Episode - Choose Your Story,4.3,Not informed,"50,000,000+",Free,0.0,Teen,"July 31, 2018",Varies with device,Varies with device,Simulation,No description
Hello Stars,4.6,31.0,"10,000,000+",Free,0.0,Everyone,"August 4, 2018",1.8.2,4.1 and up,Puzzle,No description
Run Sausage Run!,4.4,Not informed,"10,000,000+",Free,0.0,Everyone 10+,"August 1, 2018",Varies with device,4.1 and up,Arcade,No description
Tank Stars,4.3,98.0,"10,000,000+",Free,0.0,Everyone 10+,"July 11, 2018",1.1.1,5.0 and up,Arcade,No description
Castle Clash: Heroes of the Empire US,4.6,24.0,"50,000,000+",Free,0.0,Everyone 10+,"July 17, 2018",1.4.51,4.1 and up,Strategy,No description
Hole.io,4.2,85.0,"10,000,000+",Free,0.0,Teen,"July 24, 2018",1.3.1,4.1 and up,Arcade,No description
Flip the Gun - Simulator Game,4.2,86.0,"10,000,000+",Free,0.0,Everyone,"July 26, 2018",1.2,5.0 and up,Arcade,No description
Mad Skills BMX 2,4.5,80.0,"1,000,000+",Free,0.0,Everyone,"July 26, 2018",1.1.4,4.1 and up,Action,No description
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",4.4,79.0,"1,000,000+",Free,0.0,Everyone,"July 19, 2018",3.00.11034,5.0 and up,Racing,No description
Word Link,4.6,30.0,"10,000,000+",Free,0.0,Everyone,"August 1, 2018",2.2.7,4.1 and up,Word,No description
Last Day on Earth: Survival,4.5,87.0,"10,000,000+",Free,0.0,Teen,"August 1, 2018",1.9.3,4.1 and up,Action,No description
MARVEL Strike Force,4.3,91.0,"5,000,000+",Free,0.0,Teen,"July 31, 2018",1.4.0,4.4 and up,Role Playing,No description
Partymasters - Fun Idle Game,4.6,63.0,"10,000,000+",Free,0.0,Teen,"July 12, 2018",1.2.5,5.0 and up,Arcade,No description
Harry Potter: Hogwarts Mystery,4.4,Not informed,"10,000,000+",Free,0.0,Teen,"August 1, 2018",1.8.2,4.4 and up,Adventure,No description
Offroad Outlaws,4.4,Not informed,"1,000,000+",Free,0.0,Everyone,"May 29, 2018",2.0.1,4.1 and up,Racing,No description
Grim Soul: Dark Fantasy Survival,4.5,95.0,"5,000,000+",Free,0.0,Teen,"July 18, 2018",1.1.1,4.1 and up,Role Playing,No description
DRAGON BALL LEGENDS,4.6,48.0,"5,000,000+",Free,0.0,Teen,"August 3, 2018",1.11.0,6.0 and up,Action,No description
Disney Heroes: Battle Mode,4.6,Not informed,"5,000,000+",Free,0.0,Everyone 10+,"July 31, 2018",1.2.2,Varies with device,Strategy,No description
Homescapes,4.6,Not informed,"10,000,000+",Free,0.0,Everyone,"July 13, 2018",1.8.0.900,4.0.3 and up,Casual,No description
New YAHTZEE® With Buddies Dice Game,4.1,93.0,"5,000,000+",Free,0.0,Everyone,"July 5, 2018",5.6.5,4.1 and up,Board,No description
Word Crossy - A crossword game,4.5,53.0,"5,000,000+",Free,0.0,Everyone,"August 1, 2018",2.2.3,4.0.3 and up,Word,No description
Hero Hunters,4.4,99.0,"5,000,000+",Free,0.0,Teen,"July 31, 2018",1.7,4.4 and up,Action,No description
Cooking Madness - A Chef's Restaurant Games,4.7,49.0,"10,000,000+",Free,0.0,Everyone,"July 30, 2018",1.2.2,4.1 and up,Arcade,No description
Ice Crush 2018 - A new Puzzle Matching Adventure,4.6,25.0,"1,000,000+",Free,0.0,Everyone,"August 2, 2018",1.8.1,4.1 and up,Casual,No description
TerraGenesis - Space Colony,4.3,Not informed,"1,000,000+",Free,0.0,Everyone,"August 2, 2018",4.9.31,Varies with device,Simulation,No description
Merge Dragons!,4.5,91.0,"5,000,000+",Free,0.0,Everyone,"July 30, 2018",3.6.0,4.1 and up,Puzzle,No description
SHADOWGUN LEGENDS,4.6,52.0,"1,000,000+",Free,0.0,Teen,"July 16, 2018",0.5.4,6.0 and up,Action,No description
RULES OF SURVIVAL,4.2,56.0,"10,000,000+",Free,0.0,Teen,"August 1, 2018",1.180271.184729,4.0 and up,Action,No description
Mafia City,4.5,56.0,"10,000,000+",Free,0.0,Mature 17+,"August 3, 2018",1.3.205,2.3 and up,Strategy,No description
"Cash, Inc. Money Clicker Game & Business Adventure",4.8,85.0,"10,000,000+",Free,0.0,Everyone,"July 19, 2018",2.1.1.4.0,4.4 and up,Simulation,No description
Dino War: Rise of Beasts,4.1,81.0,"1,000,000+",Free,0.0,Teen,"August 1, 2018",1.5.2,4.1 and up,Strategy,No description
Tokyo Ghoul: Dark War,4.3,82.0,"1,000,000+",Free,0.0,Teen,"July 6, 2018",1.2.0,4.3 and up,Role Playing,No description
Last Shelter: Survival,4.4,98.0,"5,000,000+",Free,0.0,Teen,"August 4, 2018",1.250.078,4.0.3 and up,Strategy,No description
Guns of Glory,4.0,77.0,"10,000,000+",Free,0.0,Everyone 10+,"July 31, 2018",2.0.2,4.0.3 and up,Strategy,No description
Lineage 2: Revolution,4.2,99.0,"5,000,000+",Free,0.0,Teen,"July 11, 2018",1.05.20,4.4 and up,Role Playing,No description
Final Fantasy XV: A New Empire,4.0,Not informed,"10,000,000+",Free,0.0,Everyone 10+,"June 15, 2018",3.30.4.83,4.1 and up,Strategy,No description
Girls' Frontline,4.2,96.0,"100,000+",Free,0.0,Teen,"May 18, 2018",2.0081_206,4.0.3 and up,Strategy,No description
Chapters: Interactive Stories,4.5,96.0,"1,000,000+",Free,0.0,Mature 17+,"August 2, 2018",1.3.3,4.3 and up,Role Playing,No description
Honkai Impact 3rd,4.7,82.0,"1,000,000+",Free,0.0,Teen,"July 3, 2018",2.2.1,4.3 and up,Action,No description
Master of Eternity(MOE),4.2,70.0,"100,000+",Free,0.0,Teen,"July 26, 2018",1.8.2,4.4 and up,Strategy,No description
The Game of Life,4.4,63.0,"100,000+",Paid,2.99,Everyone,"July 4, 2018",2.1.2,4.4 and up,Board,No description
Clue,4.6,35.0,"100,000+",Paid,1.99,Everyone 10+,"July 30, 2018",2.2.5,5.0 and up,Board,No description
The Room: Old Sins,4.9,48.0,"100,000+",Paid,4.99,Everyone,"April 18, 2018",1.0.1,4.4 and up,Puzzle,No description
The Escapists,4.4,84.0,"100,000+",Paid,4.99,Teen,"April 26, 2018",1.1.0,2.3 and up,Strategy,No description
Farming Simulator 18,4.5,15.0,"100,000+",Paid,4.99,Everyone,"July 9, 2018",Varies with device,4.4 and up,Simulation,Education
RollerCoaster Tycoon® Classic,4.6,69.0,"100,000+",Paid,5.99,Everyone,"December 21, 2017",1.2.1.1712080,4.0.3 and up,Simulation,No description
Call of Duty:Black Ops Zombies,4.2,46.0,"100,000+",Paid,6.99,Teen,"December 20, 2016",1.0.11,2.3.3 and up,Action,No description
Star Wars ™: DIRTY,4.5,15.0,"100,000+",Paid,9.99,Teen,"October 19, 2015",1.0.6,4.1 and up,Role Playing,No description
Monument Valley 2,4.6,33.0,"100,000+",Paid,4.99,Everyone,"November 30, 2017",1.2.9,4.4 and up,Puzzle,No description
Angry Birds 2,4.6,57.0,"100,000,000+",Free,0.0,Everyone,"July 26, 2018",2.21.1,4.1 and up,Casual,No description
Fallout Shelter,4.6,25.0,"10,000,000+",Free,0.0,Teen,"June 11, 2018",1.13.12,4.1 and up,Simulation,No description
The Sims™ FreePlay,4.3,31.0,"10,000,000+",Free,0.0,Teen,"July 16, 2018",5.39.1,4.0.3 and up,Simulation,No description
Best Fiends - Free Puzzle Game,4.6,Not informed,"10,000,000+",Free,0.0,Everyone,"August 2, 2018",5.8.1,Varies with device,Casual,No description
MARVEL Contest of Champions,4.3,92.0,"50,000,000+",Free,0.0,Teen,"July 30, 2018",19.1.0,4.0.3 and up,Action,No description
Jurassic World™ Alive,4.3,70.0,"5,000,000+",Free,0.0,Everyone 10+,"August 2, 2018",1.3.15,4.4 and up,Simulation,No description
Choices: Stories You Play,4.6,93.0,"10,000,000+",Free,0.0,Teen,"July 30, 2018",2.3.5,4.0.3 and up,Simulation,No description
Solitaire TriPeaks,4.5,52.0,"10,000,000+",Free,0.0,Everyone,"August 1, 2018",4.6.2.46103,4.0.3 and up,Card,No description
The Walking Dead: Road to Survival,4.2,37.0,"10,000,000+",Free,0.0,Mature 17+,"June 19, 2018",12.0.4.62276,4.0.3 and up,Role Playing,No description
Hustle Castle: Fantasy Kingdom,4.7,64.0,"10,000,000+",Free,0.0,Everyone 10+,"July 27, 2018",1.5.4,4.1 and up,Role Playing,No description
Might & Magic: Elemental Guardians,4.3,35.0,"500,000+",Free,0.0,Mature 17+,"July 12, 2018",1.93,4.4 and up,Role Playing,No description
Game of Thrones: Conquest™,4.0,97.0,"1,000,000+",Free,0.0,Teen,"August 3, 2018",1.8.225278,6.0 and up,Strategy,No description
Love Nikki-Dress UP Queen,4.4,93.0,"5,000,000+",Free,0.0,Everyone,"July 24, 2018",3.0.0,4.0.3 and up,Role Playing,No description
Summoners War,4.3,28.0,"50,000,000+",Free,0.0,Teen,"July 30, 2018",4.0.1,4.0.3 and up,Role Playing,No description
FINAL FANTASY BRAVE EXVIUS,4.6,83.0,"5,000,000+",Free,0.0,Teen,"July 17, 2018",3.0.2,4.0.3 and up,Role Playing,No description
Idle Heroes,4.7,99.0,"10,000,000+",Free,0.0,Everyone 10+,"May 30, 2018",1.14.0,2.3 and up,Role Playing,No description
Fate/Grand Order (English),4.4,55.0,"500,000+",Free,0.0,Teen,"July 26, 2018",1.18.0,4.0 and up,Role Playing,No description
Lords Mobile: Battle of the Empires - Strategy RPG,4.4,14.0,"50,000,000+",Free,0.0,Teen,"July 26, 2018",1.76,2.3 and up,Strategy,No description
War and Order,4.3,81.0,"5,000,000+",Free,0.0,Teen,"July 18, 2018",1.1.8,4.0.3 and up,Strategy,No description
Dungeon Hunter Champions: Epic Online Action RPG,4.2,Not informed,"1,000,000+",Free,0.0,Teen,"July 26, 2018",1.1.40,4.0.3 and up,Role Playing,No description
Yes day,4.5,94.0,"100,000,000+",Free,0.0,Everyone,"June 28, 2018",1_39_93,4.0.3 and up,Casual,No description
Jewels Star: OZ adventure,4.5,14.0,"1,000,000+",Free,0.0,Everyone,"December 29, 2017",1.3,4.0 and up,Puzzle,No description
Sweet Fruit Candy,4.5,29.0,"10,000,000+",Free,0.0,Everyone,"July 16, 2018",79.0,4.1 and up,Puzzle,No description
Shoot Bubble - Fruit Splash,4.6,29.0,"5,000,000+",Free,0.0,Everyone,"May 11, 2018",14.0,4.0.3 and up,Casual,No description
Doodle Jump,4.3,Not informed,"50,000,000+",Free,0.0,Everyone,"July 20, 2018",Varies with device,Varies with device,Arcade,No description
Crossy Road,4.5,60.0,"100,000,000+",Free,0.0,Everyone,"August 1, 2018",3.1.0,5.0 and up,Action,No description
Swamp Attack,4.4,70.0,"50,000,000+",Free,0.0,Everyone 10+,"June 29, 2018",3.0.1,4.1 and up,Action,No description
Earn to Die 2,4.6,99.0,"50,000,000+",Free,0.0,Teen,"April 12, 2017",1.3,2.3.3 and up,Racing,No description
Hungry Shark World,4.5,27.0,"50,000,000+",Free,0.0,Teen,"July 18, 2018",3.0.0,4.2 and up,Action,No description
Dude Perfect 2,4.5,70.0,"10,000,000+",Free,0.0,Everyone,"April 12, 2017",1.6.1,4.0.3 and up,Action,No description
Shadow Fight 2,4.6,88.0,"100,000,000+",Free,0.0,Everyone 10+,"July 2, 2018",1.9.38,3.0 and up,Action,No description
Alto's Adventure,4.6,63.0,"10,000,000+",Free,0.0,Everyone,"June 5, 2018",1.7.1,4.0 and up,Action,No description
DEER HUNTER 2018,4.3,82.0,"10,000,000+",Free,0.0,Teen,"June 26, 2018",5.1.2,3.0 and up,Action,No description
DEAD TARGET: FPS Zombie Apocalypse Survival Games,4.5,Not informed,"50,000,000+",Free,0.0,Mature 17+,"July 23, 2018",Varies with device,Varies with device,Action,No description
Cover Fire: offline shooting games for free,4.7,31.0,"10,000,000+",Free,0.0,Teen,"August 3, 2018",1.8.20,4.1 and up,Action,No description
Anger of stick 5 : zombie,4.5,23.0,"50,000,000+",Free,0.0,Teen,"August 3, 2018",1.1.5,2.3 and up,Action,No description
CATS: Crash Arena Turbo Stars,4.7,Not informed,"50,000,000+",Free,0.0,Everyone,"July 9, 2018",2.11.1,4.1 and up,Action,No description
Soul Knight,4.7,59.0,"10,000,000+",Free,0.0,Everyone 10+,"August 1, 2018",1.8.4,4.1 and up,Action,No description
Major Mayhem,4.6,39.0,"10,000,000+",Free,0.0,Teen,"June 28, 2017",108,4.0 and up,Action,No description
DINO HUNTER: DEADLY SHORES,4.4,54.0,"10,000,000+",Free,0.0,Teen,"March 14, 2017",3.1.1,3.0 and up,Action,No description
Strawberry Shortcake BerryRush,4.3,48.0,"10,000,000+",Free,0.0,Everyone,"October 15, 2017",1.2.3,2.3 and up,Action,Action & Adventure
Extreme Match,4.5,Not informed,"100,000+",Free,0.0,Everyone,"July 5, 2018",1.1.7,4.1 and up,Action,No description
Power Rangers Dino Charge,4.3,30.0,"10,000,000+",Free,0.0,Everyone 10+,"January 29, 2018",1.4.0,4.1 and up,Action,No description
Zombie Hunter: Post Apocalypse Survival Games,4.4,66.0,"10,000,000+",Free,0.0,Teen,"July 28, 2017",2.4.2,2.3.3 and up,Action,No description
Agar.io,4.2,32.0,"100,000,000+",Free,0.0,Everyone,"July 23, 2018",2.2.8,4.0.3 and up,Action,No description
Battlelands Royale,4.4,61.0,"1,000,000+",Free,0.0,Everyone 10+,"July 16, 2018",0.5.8,4.1 and up,Action,No description
Once Upon a Tower,4.7,49.0,"1,000,000+",Free,0.0,Everyone 10+,"January 24, 2018",8,4.1 and up,Action,No description
TEKKEN™,4.2,38.0,"5,000,000+",Free,0.0,Teen,"July 26, 2018",1.3,5.0 and up,Action,No description
diep.io,4.1,20.0,"10,000,000+",Free,0.0,Everyone,"March 16, 2018",1.2.7,4.0.3 and up,Action,No description
Arrow.io,4.5,Not informed,"10,000,000+",Free,0.0,Everyone 10+,"August 6, 2018",1.2.6,4.0.3 and up,Action,No description
BEYBLADE BURST app,4.5,Not informed,"10,000,000+",Free,0.0,Everyone,"July 16, 2018",Varies with device,Varies with device,Action,Action & Adventure
Dragon Hills,4.5,66.0,"10,000,000+",Free,0.0,Everyone 10+,"October 12, 2017",1.2.7,4.1 and up,Action,No description
Bus Rush: Subway Edition,4.1,57.0,"100,000,000+",Free,0.0,Teen,"August 1, 2018",1.15.2,4.0.3 and up,Action,No description
DC Super Hero Girls™,4.3,95.0,"5,000,000+",Free,0.0,Everyone,"June 29, 2018",2.8.0,4.0 and up,Action,Action & Adventure
Tiny Archers,4.5,Not informed,"5,000,000+",Free,0.0,Mature 17+,"May 25, 2018",Varies with device,Varies with device,Action,No description
Metal Soldiers 2,4.4,Not informed,"10,000,000+",Free,0.0,Teen,"June 18, 2018",1.11.2,4.1 and up,Action,No description
Runner 3d like,4.5,32.0,"100,000+",Free,0.0,Everyone 10+,"August 3, 2018",1.0.7,4.0 and up,Action,No description
War Robots,4.6,33.0,"50,000,000+",Free,0.0,Everyone 10+,"July 25, 2018",4.1.1,4.1 and up,Action,No description
Dinosaur Simulator: Dino World,4.0,66.0,"5,000,000+",Free,0.0,Teen,"August 5, 2018",1.2,4.2 and up,Action,No description
GUNSHIP BATTLE: Helicopter 3D,4.3,75.0,"50,000,000+",Free,0.0,Teen,"August 1, 2018",2.6.61,4.0.3 and up,Action,No description
Quiz: Logo game,4.5,29.0,"10,000,000+",Free,0.0,Everyone,"August 3, 2018",6.2,4.0.3 and up,Trivia,No description
Jewels Legend - Match 3 Puzzle,4.6,50.0,"10,000,000+",Free,0.0,Everyone,"July 20, 2018",2.11.2,4.0.3 and up,Arcade,No description
Solitaire,4.7,12.0,"10,000,000+",Free,0.0,Everyone,"June 8, 2018",Varies with device,Varies with device,Card,No description
Bubble Shooter Genies,4.5,41.0,"5,000,000+",Free,0.0,Everyone,"June 4, 2018",1.9.1,4.0.3 and up,Casual,No description
